valor_s
0.473816
0.500056
0.510933
0.514030
0.514556
0.514972
0.515022
0.515177
0.515215
0.515784
0.516459
0.516556
0.516684
0.517439
0.517850
0.518521
0.518634
0.518841
0.519040
0.519045
0.519225
0.519323
0.519385
0.519386
0.519505
0.519572
0.519828
0.519933
0.520000
0.520174
0.520300
0.521199
0.521373
0.521520
0.521554
0.522130
0.522342
0.522638
0.522729
0.522734
0.522933
0.523301
0.523349
0.524836
0.524995
0.525385
0.525490
0.525599
0.526052
0.526661
0.527411
0.527501
0.527577
0.528049
0.528064
0.528268
0.528791
0.528980
0.529080
0.529144
0.529201
0.529301
0.529363
0.529430
0.529486
0.529517
0.529550
0.529608
0.529803
0.529813
0.529841
0.529859
0.529887
0.529892
0.529892
0.529902
0.529902
0.529928
0.530064
0.530207
0.530394
0.530697
0.530714
0.530823
0.531000
0.531106
0.531209
0.531230
0.531590
0.531654
0.531803
0.532414
0.533013
0.533538
0.533651
0.534674
0.535585
0.535975
0.538893
0.542069
0.542295
0.554604
0.588809
0.716632
